equipmentId,itemId,itemName,type,unit,required,minValue,maxValue,freqHours
QH1-O-P02E02,QH1-O-P02E02I12,电机驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I13,电机驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I14,电机驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I15,电机非驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I16,电机非驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I17,电机非驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E02,QH1-O-P02E02I18,出口压力：是否正常,NUMBER,MPa,yes,0.2,0.5,8
QH1-O-P02E02,QH1-O-P02E02I19,密封水投入情况：是否投用，有无泄漏,BOOLEAN,,yes,,,2
QH1-O-P02E02,QH1-O-P02E02I20,润滑油回路：油位不低于1/2，有无泄漏,BOOLEAN,,yes,,,2
QH1-O-P02E03,QH1-O-P02E03I01,泵驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E03,QH1-O-P02E03I02,泵非驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E03,QH1-O-P02E03I03,泵驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I04,泵驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I05,泵驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I06,泵非驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I07,泵非驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I08,泵非驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I09,电机驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E03,QH1-O-P02E03I10,电机非驱动端轴承温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E03,QH1-O-P02E03I11,电机本体温度：是否正常，超过60℃汇报,NUMBER,°C,yes,20,60,2
QH1-O-P02E03,QH1-O-P02E03I12,电机驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I13,电机驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I14,电机驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I15,电机非驱动端轴承振动（水平）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I16,电机非驱动端轴承振动（垂直）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I17,电机非驱动端轴承振动（轴向）：振动是否过大，有无异音,NUMBER,mm,yes,0.005,0.1,8
QH1-O-P02E03,QH1-O-P02E03I18,出口压力：是否正常,NUMBER,MPa,yes,0.2,0.5,8
QH1-O-P02E03,QH1-O-P02E03I19,密封水投入情况：是否投用，有无泄漏,BOOLEAN,,yes,,,2
QH1-O-P02E03,QH1-O-P02E03I20,润滑油回路：油位不低于1/2，有无泄漏,BOOLEAN,,yes,,,2
QH1-O-P02E04,QH1-O-P02E04I01,无积水,BOOLEAN,,yes,,,8
QH1-S-P01E01,QH1-S-P01E01I01,天然气调压站：无跑冒、无泄漏,BOOLEAN,,yes,,,4
QH1-S-P02E01,QH1-S-P02E01I01,IG泵房：无跑冒、无泄漏,BOOLEAN,,yes,,,4
